project_id;project_name;project_nr;project_path;parent_id;tree_sortkey;max_child_sortkey;company_id;project_type_id;project_status_id;description;billing_type_id;note;project_lead_id;supervisor_id;requires_report_p;project_budget;project_risk;corporate_sponsor;team_size;percent_completed;on_track_status_id;project_budget_hours;cost_quotes_cache;cost_invoices_cache;cost_timesheet_planned_cache;cost_purchase_orders_cache;cost_bills_cache;cost_timesheet_logged_cache;end_date;start_date;template_p;sort_order;reported_hours_cache;cost_expense_planned_cache;cost_expense_logged_cache;confirm_date;cost_delivery_notes_cache;cost_cache_dirty;milestone_p;release_item_p;presales_probability;presales_value;reported_days_cache;program_id;project_cost_center_id;project_calendar;company_project_nr;company_contact_id;presales_value_currency;opportunity_priority_id;opportunity_sales_stage_id;opportunity_campaign_id;score_revenue;score_strategic;score_finance_npv;score_customers;score_finance_cost;cost_bills_planned;cost_expenses_planned;score_risk;score_capabilities;score_finance_roi;project_bucket;project_maingoal;project_subgoal;project_businessgoal;project_initiative;project_plannedenddate;project_perofplannedcompletion;project_plannedstartdate;projet_plannedenddate;proj_businessgoal;prj_businessgoal;project_members;project_board_id;project_userwise_board;project_bring_nextday;project_bring_sameboard;project_newboard_everytime;project_board2_id;project_userwise_board2;project_bring_sameboard2;project_newboard2_everytime;project_newboard2_always;project_report_weekly;backlog_practice;score_gain;score_loss;score_delivery;score_operations;score_why;project_theme;project_class;project_vertical;java_services;net_services;collection_link;training_link;collection_name;training_name;training_doc;testing_richtext;template_category;d_type;d_option;d_filter;d_id;t_type;t_option;t_filter;t_id;risktype;riskimpact;riskprobability
68977;Mansur - Daily AR;task_68848;task_68848_68956;68956;1000000000000001000100010100010000000010;00000000;8720;100;10000138;;;;;;t;;;;;0;;;0.00;0.00;0.00;0.00;0.00;482.69;2019-12-31 00:00:00-06;2018-10-12 00:00:00-05;f;1;64;0.00;0.00;;0.00;;f;;;;8.03;;57703;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10046343;;;;;;;;;;;;;;;;;;;;
69003;MHP-NH - Daily AR;task_68848;task_68848_68996;68996;1000000000000001000100010110110000000000;00000000;8720;100;10000138;;;;;;t;;;;;0;;;0.00;0.00;0.00;0.00;0.00;1056.92;2019-12-31 00:00:00-06;2018-10-12 00:00:00-05;f;1;113.5;0.00;0.00;;0.00;;f;;;;14.22;;57703;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10046343;;;;;;;;;;;;;;;;;;;;
69052;Charge Entry : MI Physical;task_69052;task_69052;69041;1000000000000001000100011001100100000000;00000000;8720;100;10000138;;;;;;t;;;;;0;;;0.00;0.00;0.00;0.00;0.00;1935.00;2019-12-31 00:00:00-06;2018-10-12 00:00:00-05;f;1;103;0.00;0.00;;0.00;;f;;;;13.10;;57703;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10046343;;;;;;;;;;;;;;;;;;;;
69176;Charge Entry : NEGA;task_69052;task_69052_69149;69149;1000000000000001000100100000010100000010;00000010;8720;100;10000138;;;;;;t;;;;;0;;;0.00;0.00;0.00;0.00;0.00;3945.00;2019-12-31 00:00:00-06;2018-10-12 00:00:00-05;f;1;226.25;0.00;0.00;;0.00;;f;;;;28.43;;57703;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10046343;;;;;;;;;;;;;;;;;;;;
69201;Charge Entry : Small Talk;task_69052;task_69052_69192;69192;1000000000000001000100100011000000000000;00000000;8720;100;10000138;;;;;;t;;;;;0;;;0.00;0.00;0.00;0.00;0.00;2850.00;2019-12-31 00:00:00-06;2018-10-12 00:00:00-05;f;1;159.25;0.00;0.00;;0.00;;f;;;;20.23;;57703;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10046343;;;;;;;;;;;;;;;;;;;;
69262;Payment Posting: Small Talk;task_69052;task_69052_69235;69235;1000000000000001000100100101101100000010;00000000;8720;100;10000138;;;;;;t;;;;;0;;;0.00;0.00;0.00;0.00;0.00;352.00;2019-12-31 00:00:00-06;2018-10-12 00:00:00-05;f;1;23.1;0.00;0.00;;0.00;;f;;;;2.91;;57703;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10046343;;;;;;;;;;;;;;;;;;;;
69970;Dashboards;task_69673;task_69673_69942;69942;1000000000000001000101010001111000000001;00000000;8720;100;76;;;;;;t;;;;;0;;;0.00;0.00;0.00;0.00;0.00;0.00;2018-10-15 00:00:00-05;2018-10-15 00:00:00-05;f;1;;0.00;0.00;;0.00;;;;;;;;57705;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10046343;;;;;;;;;;;;;;;;;;;;
70213;Dashboards;task_69673;task_69673_70138;70138;1000000000000001000101011110001000000100;00000000;8720;100;76;;;;;;t;;;;;10.5;;;0.00;0.00;0.00;0.00;0.00;0.00;2018-10-15 23:59:59-05;2018-10-15 00:00:00-05;f;1;21;0.00;0.00;;0.00;;;;;;2.64;;57705;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10046343;;;;;;;;;;;;;;;;;;;;
70352;Statement - Becky Smith;task_70352;task_70352;70341;1000000000000001000101101010110100000000;;8720;100;10000138;;;;;;t;;;;;0;;;0.00;0.00;0.00;0.00;0.00;425.00;2019-12-31 00:00:00-06;2018-10-15 00:00:00-05;f;1;23;0.00;0.00;;0.00;;f;;;;2.80;;57703;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10046343;;;;;;;;;;;;;;;;;;;;
70504;Production: Inbound/Outbound Call hours;task_70504;task_70504;70493;1000000000000001000101110100010100000000;;8720;100;81;;;;;;t;;;;;0;;;0.00;0.00;0.00;0.00;0.00;1643.08;2019-12-31 00:00:00-06;2018-10-15 00:00:00-05;f;1;190.15;0.00;0.00;;0.00;;f;;;;23.77;;57703;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10046343;;;;;;;;;;;;;;;;;;;;
70629;MI - Daily AR;task_68848;task_68848_70608;70608;1000000000000001000101111011100000000010;00000000;8720;100;10000138;;;;;;t;;;;;0;;;0.00;0.00;0.00;0.00;0.00;365.38;2019-12-31 00:00:00-06;2018-10-12 00:00:00-05;f;1;43;0.00;0.00;;0.00;;f;;;;5.39;;57703;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10046343;;;;;;;;;;;;;;;;;;;;
70676;Other than daily planned work;task_70676;task_70676;70649;1000000000000001000101111110000100000000;;8720;100;10000216;;;;;;t;;;;;0;;;0.00;0.00;0.00;0.00;0.00;29213.00;2019-12-31 00:00:00-06;2018-10-15 00:00:00-05;f;1;1642.25;0.00;0.00;;0.00;;t;;;;205.73;;57703;;;;;;;;;0;;;;;;668184;;;;;;;;;;;;;;;;;;;;;;;;;;;;;556820;111364;;;;10046343;;;;;;;;;;;;;;;;;;;;
70808;Admin;task_70808;task_70808;70796;1000000000000001000110000111010000000000;00000111;8720;100;76;;;;;;t;;;;;13.7;;;0.00;0.00;0.00;0.00;0.00;690.77;2019-01-22 12:29:00-06;2018-10-16 00:00:00-05;f;1;73;0.00;0.00;;0.00;;f;;;;9.14;;57705;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10046343;;;;;;;;;;;;;;;;;;;;
70923;BANQ: Database design;task_70923;task_70923;70872;1000000000000001000110001100000000011011;00000101;8720;100;76;;;;;;t;;;;;15.6;;;0.00;0.00;0.00;0.00;0.00;580.00;2019-04-09 00:00:00-05;2018-10-15 00:00:00-05;f;1;33;0.00;0.00;;0.00;;f;;;;4.13;;57703;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10046325;10046314;10046338;;;;;;;;;;;;;;;;;;;;
71963;New feature Implementation & Bug fixing in Portal Application;task_71963;task_71963;71947;1000000000000001000111001111001100000000;;8720;100;76;;;;;;t;;;;;0;;;0.00;0.00;0.00;0.00;0.00;3071.00;2023-10-19 00:00:00-05;2018-10-19 00:00:00-05;f;1;174.55;0.00;0.00;;0.00;;f;;;;21.90;;57701;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10046343;;;;;;;;;;;;;;;;;;;;
72391;Feature List;task_72391;task_72391;69565;1000000000000001000100111010010100100100;00011110;8720;100;81;;;;;;t;;;;;58.5493212669683;;;0.00;0.00;0.00;0.00;0.00;1455.00;2018-11-30 00:00:00-06;2018-09-30 00:00:00-05;f;1;328;0.00;0.00;;0.00;;;;;;41.07;;57705;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10046343;;;;;;;;;;;;;;;;;;;;
73167;Ubuntu java services configuration, deployment, testing and verification;task_73167;task_73167;73153;1000000000000001001000011010100100000000;;8720;100;76;;;;;;t;;;;;0;;;0.00;0.00;0.00;0.00;0.00;0.00;2018-12-31 00:00:00-06;2018-10-23 00:00:00-05;f;1;12;0.00;0.00;;0.00;;;;;;1.50;;57703;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10046343;;;;;;;;;;;;;;;;;;;;
73395;Verify CRM functionality after Update;task_73395;task_73395;73383;1000000000000001001000101000111100000000;;8720;100;76;;;;;;t;;;;;15.2;;;0.00;0.00;0.00;0.00;0.00;220.00;2023-10-23 00:00:00-05;2018-10-23 00:00:00-05;f;1;17;0.00;0.00;;0.00;;f;;;;2.15;;57701;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10046343;;;;;;;;;;;;;;;;;;;;
74712;Daily Activities;task_74712;task_74712;74701;1000000000000001001001111011010100000000;;8720;100;10000138;;;;;;t;;;;;0;;;0.00;0.00;0.00;0.00;0.00;9477.69;2018-10-26 00:00:00-05;2018-10-26 00:00:00-05;f;1;311.75;0.00;0.00;;0.00;;f;;;;39.00;;57703;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10046343;;;;;;;;;;;;;;;;;;;;
75463;Google PoC;task_75463;task_75463;74940;1000000000000001001010001010010000000000;;8720;100;81;;;;;;t;;;;;100;;;;;;;;;2018-10-20 00:00:00-05;2018-07-23 00:00:00-05;f;1;;0.00;0.00;;0.00;;;;;;0.00;;57701;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10046343;;;;;;;;;;;;;;;;;;;;
76134;Study new competency requirements;study_new_competency_requirements;study_new_competency_requirements;76115;1000000000000001001011010011101100000000;;8720;100;81;This is for Microsoft subscription;;This is for Microsoft subscription;;;t;;;;;100;;;0.00;0.00;0.00;0.00;0.00;40.00;2019-03-29 00:00:00-05;2018-11-12 00:00:00-06;f;1;2;0.00;0.00;;0.00;;t;;;;0.25;;57701;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10046343;;;;;;;;;;;;;;;;;;;;
76878;P-DOS CPT Type Filter;task_76878;task_76878;73344;1000000000000001001000100110100000000001;00000001;8720;100;88395;;;;;;t;;;;;88.3333333333333;;;0.00;0.00;0.00;0.00;0.00;305.00;2018-12-21 00:00:00-06;2018-09-12 00:00:00-05;f;1;15.25;0.00;0.00;;0.00;;f;;;;1.91;;57703;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10046343;;;;;;;;;;;;;;;;;;;;
76887;CRS - Miscellaneous;task_76887;task_76887;58446;1000000000000000111010000011011000001001;00001010;8720;100;88395;;;;;;t;;;;;65.1394422310757;;;0.00;0.00;0.00;0.00;0.00;5199.00;2019-01-31 00:00:00-06;2018-07-31 00:00:00-05;f;1;297.45;0.00;0.00;;0.00;;f;;;;35.57;;57703;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10046323;10046314;10046337;;;;;;;;;;;;;;;;;;;;
